cl_id,book,chapter,verse,clause_type_etcbc,clause_rela,book2,ebh_lbh,genre,txt_type,s_p_order,CP,cl_len,subj_type,subj_det,subj_len,pc_type,pc_det,pc_len,main_sub,nega,language,Adju,Cmpl,Conj,EPPr,ExsS,Exst,Frnt,IntS,Intj,Loca,ModS,Modi,NCoS,NCop,Nega,Objc,PrAd,PrcS,PreO,PreS,PtcO,Ques,Rela,Supp,Time,Voct,Unkn,mother
427728,Genesis,2,14,NmCl,Resu_,Genesis,ebh,prose,D,SP,no_conj,2,PPrP,det,1,PrNP,det,1,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
427750,Genesis,2,19,NmCl,Resu_,Genesis,ebh,prose,N,SP,no_conj,2,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
428320,Genesis,9,18,NmCl,Resu_,Genesis,ebh,prose,N,SP,no_conj,2,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
428734,Genesis,15,2,NmCl,Resu_,Genesis,ebh,prose,Q,SP,no_conj,2,PPrP,det,1,PrNP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
429644,Genesis,23,15,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,3,PPrP,det,1,IPrP,und,1,Main,non_neg,Hebrew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
429852,Genesis,24,44,NmCl,Resu_,Genesis,ebh,prose,Q,SP,no_conj,2,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
430000,Genesis,25,16,NmCl,Resu_,Genesis,ebh,prose,N,SP,no_conj,2,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
430402,Genesis,27,38,NmCl,Resu_,Genesis,ebh,prose,Q,SP,no_conj,2,PPrP,det,1,PP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
430916,Genesis,31,16,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,PP,det,6,SubAdv,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
431038,Genesis,31,43,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,PP,det,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
431381,Genesis,34,21,AjCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,3,PPrP,det,1,AdjP,NA,1,Main,non_neg,Hebrew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
431394,Genesis,34,23,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,4,PPrP,det,1,PP,det,2,Main,neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,no_pred
431555,Genesis,36,8,NmCl,Resu_,Genesis,ebh,prose,N,SP,no_conj,2,PPrP,det,1,PrNP,det,1,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432106,Genesis,40,12,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,NP,und,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432131,Genesis,40,18,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,NP,und,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432225,Genesis,41,25,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,NP,und,1,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432229,Genesis,41,26,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,NP,und,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432231,Genesis,41,26,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,NP,und,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432235,Genesis,41,27,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,NP,und,2,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432357,Genesis,42,6,NmCl,Resu_,Genesis,ebh,prose,N,SP,no_conj,3,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432740,Genesis,44,10,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,AdvP,NA,1,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
432941,Genesis,45,20,NmCl,Resu_,Genesis,ebh,prose,Q,PS,no_conj,2,PPrP,det,1,PP,det,2,SubAdv,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
