cl_id,book,chapter,verse,clause_type_etcbc,clause_rela,book2,ebh_lbh,genre,txt_type,s_p_order,CP,cl_len,subj_type,subj_det,subj_len,pc_type,pc_det,pc_len,main_sub,nega,language,Adju,Cmpl,Conj,EPPr,ExsS,Exst,Frnt,IntS,Intj,Loca,ModS,Modi,NCoS,NCop,Nega,Objc,PrAd,PrcS,PreO,PreS,PtcO,Ques,Rela,Supp,Time,Voct,Unkn,mother
458742,2_Samuel,7,28,NmCl,NA_,Samuel,ebh,prose,Q,SP,no_conj,2,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
467411,2_Kings,19,15,NmCl,NA_,Kings,ebh,prose,Q,SP,no_conj,4,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
470973,Isaiah,37,16,NmCl,NA_,Isaiah,other,prophecy,Q,SP,no_conj,4,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
477247,Jeremiah,30,21,NmCl,NA_,Jeremiah,other,prophecy,Q,PS,KJ,3,DPrP,det,1,IPrP,und,1,SubAdv,non_neg,Hebrew,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
488989,Zechariah,1,9,NmCl,Objc_,Zechariah,other,prophecy,Q,PS,no_conj,2,DPrP,det,1,IPrP,und,1,SubArg,non_neg,Hebrew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,impf
489189,Zechariah,4,5,NmCl,Objc_,Zechariah,other,prophecy,Q,PS,no_conj,2,DPrP,det,1,IPrP,und,1,SubArg,non_neg,Hebrew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
491228,Psalms,24,10,NmCl,NA_,Psalms,other,poetry,Q,PS,no_conj,2,DPrP,det,4,IPrP,und,1,Main,non_neg,Hebrew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,impf
492296,Psalms,44,5,NmCl,NA_,Psalms,other,poetry,Q,SP,no_conj,2,PPrP,det,1,NP,det,2,Main,non_neg,Hebrew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_pred
505755,Esther,7,5,NmCl,NA_,Esther,lbh,prose,Q,PS,no_conj,2,DPrP,det,1,IPrP,und,1,Main,non_neg,Hebrew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wayq
506106,Daniel,2,9,NmCl,NA_,Daniel,lbh,prose,Q,PS,no_conj,2,NP,det,2,NP,und,1,Main,non_neg,Aramaic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,impf
