cl_type,cl_id,book,chapter,verse,clause_type_etcbc,clause_rela,book2,ebh_lbh,genre,txt_type,s_p_order,CP,cl_len,subj_type,subj_det,subj_len,pc_type,pc_det,pc_len,main_sub,nega,language,Adju,Cmpl,Conj,EPPr,ExsS,Exst,Frnt,IntS,Intj,Loca,ModS,Modi,NCoS,NCop,Nega,Objc,PrAd,PrcS,PreO,PreS,PtcO,Ques,Rela,Supp,Time,Voct,Unkn,mother
hyh,39988,1QH,3,5,InfC,Adju_,1QH,qumranic,poetry,Q,SP,no_conj,3,NP,det,2,PP,det,3,SubAdv,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ptca
nom,40007,1QH,3,9,NmCl,NA_,1QH,qumranic,poetry,Q,PS,KJ,3,NP,det,2,PP,det,3,SubAdv,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
nom,40008,1QH,3,9,NmCl,NA_,1QH,qumranic,poetry,Q,PS,W,4,NP,det,2,PP,det,3,Main,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nominal
nom,40036,1QH,3,15,NmCl,NA_,1QH,qumranic,poetry,Q,PS,KJ,3,NP,det,2,NP,und,2,SubAdv,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nominal
nom,40084,1QH,4,7,NmCl,NA_,1QH,qumranic,poetry,Q,SP,no_conj,3,NP,det,2,NP,und,7,Main,non_neg,Hebrew,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nominal
nom,40109,1QH,4,12,NmCl,NA_,1QH,qumranic,poetry,Q,PS,KJ,3,PPrP,det,3,IPrP,und,1,SubAdv,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nominal
nom,40114,1QH,4,13,NmCl,NA_,1QH,qumranic,poetry,Q,PS,W,4,NP,und,2,IPrP,und,1,Main,non_neg,Hebrew,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nominal
nom,40117,1QH,4,15,NmCl,NA_,1QH,qumranic,poetry,Q,PS,no_conj,2,PPrP,det,2,NP,und,3,Main,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ptca
nom,40132,1QH,4,20,NmCl,NA_,1QH,qumranic,poetry,Q,PS,W,3,NP,det,3,NP,und,1,Main,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
nom,40193,1QH,4,33,NmCl,NA_,1QH,qumranic,poetry,Q,PS,W,4,PPrP,det,2,PP,det,4,Main,non_neg,Hebrew,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,impf
nom,40199,1QH,4,35,AjCl,NA_,1QH,qumranic,poetry,Q,SP,KJ,3,PPrP,det,1,AdjP,NA,1,SubAdv,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,impf
nom,40200,1QH,4,35,NmCl,NA_,1QH,qumranic,poetry,Q,PS,W,3,NP,det,3,NP,und,1,Main,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nominal
hyh,40238,1QH,5,4,xQtX,NA_,1QH,qumranic,poetry,Q,PS,KJ,3,DPrP,det,1,PP,det,3,SubAdv,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,impf
