cl_type,cl_id,book,chapter,verse,clause_type_etcbc,clause_rela,book2,ebh_lbh,genre,txt_type,s_p_order,CP,cl_len,subj_type,subj_det,subj_len,pc_type,pc_det,pc_len,main_sub,nega,language,Adju,Cmpl,Conj,EPPr,ExsS,Exst,Frnt,IntS,Intj,Loca,ModS,Modi,NCoS,NCop,Nega,Objc,PrAd,PrcS,PreO,PreS,PtcO,Ques,Rela,Supp,Time,Voct,Unkn,mother
no_jc,427555,Genesis,1,2,NmCl,NA_,Genesis,ebh,prose,?,SP,W,3,NP,und,1,PP,und,3,Main,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
no_jc,427667,Genesis,1,29,NmCl,Attr_,Genesis,ebh,prose,Q,PS,>CR,3,NP,und,2,PP,det,2,SubMod,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perf
no_jc,427671,Genesis,1,30,NmCl,Attr_,Genesis,ebh,prose,Q,PS,>CR,3,NP,und,2,PP,det,2,SubMod,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,no_pred
no_jc,428116,Genesis,6,17,NmCl,Attr_,Genesis,ebh,prose,Q,PS,>CR,3,NP,und,2,PP,det,2,SubMod,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,infc
no_jc,428150,Genesis,7,6,NmCl,PreC_,Genesis,ebh,prose,N,SP,no_conj,2,NP,und,1,PP,det,3,SubArg,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
no_jc,428165,Genesis,7,15,NmCl,Attr_,Genesis,ebh,prose,N,PS,>CR,3,NP,und,2,PP,det,2,SubMod,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wayq
no_jc,428186,Genesis,7,22,NmCl,RgRc_,Genesis,ebh,prose,N,SP,>CR,3,NP,und,3,PP,det,3,SubMod,non_neg,Hebrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perf
no_jc,428216,Genesis,8,9,NmCl,NA_,Genesis,ebh,prose,N,SP,KJ,3,NP,und,1,PP,det,5,SubAdv,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perf
no_jc,428224,Genesis,8,11,NmCl,NA_,Genesis,ebh,prose,N,SP,W,4,NP,und,3,PP,det,3,Main,non_neg,Hebrew,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wayq
no_jc,428428,Genesis,11,6,NmCl,NA_,Genesis,ebh,prose,Q,SP,W,3,NP,und,2,PP,det,3,Main,non_neg,Hebrew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nominal
