,id,book,book2,chapter,verse,language,stem,obj_valence,source,main_sub,discourse,genre
5,427653,Genesis,Genesis,13,16,hbo,qal,1010,J,,,prose
6,428419,Genesis,Genesis,21,13,hbo,qal,1100,E,main,Q,prose
8,428449,Genesis,Genesis,21,18,hbo,qal,1100,E,subadv,Q,prose
15,429411,Genesis,Genesis,27,37,hbo,qal,2000,J,main,Q,prose
16,429500,Genesis,Genesis,28,11,hbo,qal,2000,E,main,N,prose
17,429536,Genesis,Genesis,28,18,hbo,qal,2000,E,submod,N,prose
18,429537,Genesis,Genesis,28,18,hbo,qal,2000,E,main,N,prose
19,429552,Genesis,Genesis,28,22,hbo,qal,2000,E,submod,Q,prose
26,430149,Genesis,Genesis,32,13,hbo,qal,1010,E,,,prose
39,431897,Genesis,Genesis,45,8,hbo,qal,1100,E,main,N,prose
40,431903,Genesis,Genesis,45,9,hbo,qal,1100,E,main,Q,prose
41,431993,Genesis,Genesis,46,3,hbo,qal,1100,E,subadv,Q,prose
42,432110,Genesis,Genesis,47,6,hbo,qal,2000,J,main,Q,prose
43,432186,Genesis,Genesis,47,26,hbo,qal,1100,J,main,N,prose
46,432309,Genesis,Genesis,48,20,hbo,qal,1010,E,,,prose
51,432683,Exodus,Exodus,2,14,hbo,qal,1100,E,main,Q,prose
64,434098,Exodus,Exodus,14,21,hbo,qal,1100,J,main,N,prose
77,435485,Exodus,Exodus,28,12,hbo,qal,2000,P,main,Q,prose
108,439415,Leviticus,Leviticus,24,6,hbo,qal,2000,P,main,Q,prose
134,445149,Deuteronomy,Deuteronomy,10,22,hbo,qal,1010,,,,prose
152,448272,Joshua,Joshua,6,18,hbo,qal,1100,,subadv,Q,prose
156,448504,Joshua,Joshua,8,12,hbo,qal,2000,,main,N,prose
158,448579,Joshua,Joshua,8,28,hbo,qal,2000,,main,N,prose
164,450163,Judges,Judges,1,28,hbo,qal,1100,,main,N,prose
169,451115,Judges,Judges,8,31,hbo,qal,2000,,main,N,prose
170,451122,Judges,Judges,8,33,hbo,qal,1100,,main,N,prose
175,451492,Judges,Judges,11,11,hbo,qal,1100,,main,N,prose
