,id,book,book2,chapter,verse,language,stem,obj_valence,source,main_sub,txt_type,genre
8,427292,Genesis,Genesis,9,3,hbo,qal,1010,P,main,Q,prose
19,427784,Genesis,Genesis,15,10,hbo,qal,1001,E,,,prose
21,427828,Genesis,Genesis,16,3,hbo,qal,1100,P,main,N,prose
24,427898,Genesis,Genesis,17,5,hbo,qal,2000,P,subadv,Q,prose
25,427900,Genesis,Genesis,17,6,hbo,qal,1100,P,main,Q,prose
26,427904,Genesis,Genesis,17,8,hbo,qal,1100,P,main,Q,prose
28,427948,Genesis,Genesis,17,20,hbo,qal,1100,P,main,Q,prose
31,428324,Genesis,Genesis,20,6,hbo,qal,1001,E,,,prose
38,428636,Genesis,Genesis,23,9,hbo,qal,1100,P,main,Q,prose
57,429412,Genesis,Genesis,27,37,hbo,qal,1100,J,main,Q,prose
65,429651,Genesis,Genesis,29,24,hbo,qal,2000,J,main,N,prose
68,429666,Genesis,Genesis,29,28,hbo,qal,1100,E,main,N,prose
69,429667,Genesis,Genesis,29,29,hbo,qal,1100,P,main,N,prose
71,429717,Genesis,Genesis,30,4,hbo,qal,1100,J,main,N,prose
73,429736,Genesis,Genesis,30,9,hbo,qal,1100,J,main,N,prose
83,429890,Genesis,Genesis,31,7,hbo,qal,1001,E,,,prose
86,430349,Genesis,Genesis,34,8,hbo,qal,1100,P,main,Q,prose
90,430365,Genesis,Genesis,34,12,hbo,qal,1100,J,main,Q,prose
119,431307,Genesis,Genesis,41,45,hbo,qal,1100,E,main,N,prose
145,432227,Genesis,Genesis,48,4,hbo,qal,1100,P,main,Q,prose
146,432228,Genesis,Genesis,48,4,hbo,qal,2000,P,main,Q,prose
153,432831,Exodus,Exodus,3,19,hbo,qal,1001,J,,,prose
163,433137,Exodus,Exodus,6,8,hbo,qal,2000,P,main,Q,prose
164,433199,Exodus,Exodus,7,1,hbo,qal,2000,P,main,Q,prose
171,433829,Exodus,Exodus,12,23,hbo,qal,1001,J,main,Q,prose
178,434324,Exodus,Exodus,16,15,hbo,qal,1100,P,submod,Q,prose
183,434588,Exodus,Exodus,18,25,hbo,qal,2000,E,main,N,prose
196,435109,Exodus,Exodus,23,27,hbo,qal,2000,J,main,Q,prose
277,437320,Leviticus,Leviticus,6,10,hbo,qal,2000,P,main,Q,prose
278,437483,Leviticus,Leviticus,7,32,hbo,qal,2000,E,main,Q,prose
279,437488,Leviticus,Leviticus,7,34,hbo,qal,1100,P,main,N,prose
299,438321,Leviticus,Leviticus,14,34,hbo,qal,1100,P,submod,Q,prose
309,438788,Leviticus,Leviticus,18,21,hbo,qal,1001,P,,,prose
343,439732,Leviticus,Leviticus,26,19,hbo,qal,1010,P,,,prose
348,439770,Leviticus,Leviticus,26,31,hbo,qal,2000,P,main,Q,prose
370,440444,Numbers,Numbers,5,21,hbo,qal,1100,E,main,Q,prose
371,440445,Numbers,Numbers,5,21,hbo,qal,2000,P,subadv,Q,prose
381,440814,Numbers,Numbers,8,19,hbo,qal,2000,J,main,N,prose
395,441581,Numbers,Numbers,15,21,hbo,qal,2000,J,main,Q,prose
405,441916,Numbers,Numbers,18,7,hbo,qal,2000,E,main,Q,prose
411,441957,Numbers,Numbers,18,19,hbo,qal,1100,P,main,Q,prose
412,441965,Numbers,Numbers,18,21,hbo,qal,1100,J,main,Q,prose
413,441974,Numbers,Numbers,18,24,hbo,qal,1100,J,subadv,Q,prose
421,442169,Numbers,Numbers,20,21,hbo,qal,1001,E,,,prose
426,442284,Numbers,Numbers,21,23,hbo,qal,1001,P,,,prose
427,442312,Numbers,Numbers,21,29,hbo,qal,2000,J,main,Q,prose
429,442397,Numbers,Numbers,22,13,hbo,qal,1001,E,,,prose
432,442815,Numbers,Numbers,25,12,hbo,qal,2000,P,main,Q,prose
443,443334,Numbers,Numbers,31,29,hbo,qal,2000,P,main,Q,prose
447,443399,Numbers,Numbers,32,5,hbo,hof,1100,J,main,Q,prose
450,443476,Numbers,Numbers,32,29,hbo,qal,1100,P,main,Q,prose
459,443730,Numbers,Numbers,35,6,hbo,qal,1001,P,,,prose
471,443923,Deuteronomy,Deuteronomy,1,15,hbo,qal,2000,,main,N,prose
480,444090,Deuteronomy,Deuteronomy,2,5,hbo,qal,2000,,subadv,N,prose
481,444107,Deuteronomy,Deuteronomy,2,9,hbo,qal,2000,,subadv,Q,prose
482,444108,Deuteronomy,Deuteronomy,2,9,hbo,qal,2000,,subadv,Q,prose
484,444139,Deuteronomy,Deuteronomy,2,19,hbo,qal,2000,,subadv,D,prose
485,444140,Deuteronomy,Deuteronomy,2,19,hbo,qal,2000,,subadv,D,prose
506,444410,Deuteronomy,Deuteronomy,4,21,hbo,qal,2000,,submod,N,prose
507,444483,Deuteronomy,Deuteronomy,4,38,hbo,qal,2000,,subadv,N,prose
553,445596,Deuteronomy,Deuteronomy,15,4,hbo,qal,2000,,submod,Q,prose
