,id,book,book2,chapter,verse,language,stem,und_do,L_object,dir_object,infinitive_object,location,benefactive,K_object,indirect_object,tot_obj,valence,obj_valence,source,main_sub,discourse,genre,,parallel,DSS
5,427653,Genesis,Genesis,13,16,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,J,,,prose, I will make your offspring like the dust of the eart,,
6,428419,Genesis,Genesis,21,13,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,E,main,Q,prose,I will make a nation of him also,,
8,428449,Genesis,Genesis,21,18,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,E,subadv,Q,prose,for I will make a great nation of him.”,,
15,429411,Genesis,Genesis,27,37,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,J,main,Q,prose,I have already made him your lord,,
16,429500,Genesis,Genesis,28,11,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,E,main,N,prose,he made it a head-place,,
17,429536,Genesis,Genesis,28,18,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,E,submod,N,prose,he had made a head-place,,
18,429537,Genesis,Genesis,28,18,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,E,main,N,prose,and set it up for a pillar ,,
19,429552,Genesis,Genesis,28,22,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,E,submod,Q,prose," which I have set up for a pillar,",,
26,430149,Genesis,Genesis,32,13,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,E,,,prose,,,
39,431897,Genesis,Genesis,45,8,hbo,qal,0,1,1,0,0,1,0,0,1,110001,1100,E,main,N,prose,"e has made me a father to Pharaoh, and lord of all his house and ruler over all the land of Egypt.",,
40,431903,Genesis,Genesis,45,9,hbo,qal,0,1,1,0,0,1,0,0,1,110001,1100,E,main,Q,prose,God has made me lord of all Egypt,,
41,431993,Genesis,Genesis,46,3,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,E,subadv,Q,prose, for I will make of you a great nation there,,
42,432110,Genesis,Genesis,47,6,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,J,main,Q,prose,put them in charge of my livestock.”,,
43,432186,Genesis,Genesis,47,26,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,J,main,N,prose,So Joseph made it a statute concerning the land of Egypt,,
46,432309,Genesis,Genesis,48,20,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,E,,,prose,,,
51,432683,Exodus,Exodus,2,14,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,E,main,Q,prose,Who made you a ruler and judge over us?,,4Qexodb
64,434098,Exodus,Exodus,14,21,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,J,main,N,prose,and turned the sea into dry land,,
77,435485,Exodus,Exodus,28,12,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,P,main,Q,prose,"You shall set the two stones on the shoulder-pieces of the ephod, as stones of remembrance for the sons of Israel",,
108,439415,Leviticus,Leviticus,24,6,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,P,main,Q,prose,You shall place them in two rows,,
134,445149,Deuteronomy,Deuteronomy,10,22,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prose,,,
152,448272,Joshua,Joshua,6,18,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prose,"and make the camp of Israel an object for destruction,",,
156,448504,Joshua,Joshua,8,12,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,,main,N,prose,with participle as second object,"he set them in ambush between Bethel and Ai,",
158,448579,Joshua,Joshua,8,28,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prose,"he set them in ambush between Bethel and Ai,",,
164,450163,Judges,Judges,1,28,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prose,"they put the Canaanites to forced labor,",,
169,451115,Judges,Judges,8,31,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prose,with name,,
170,451122,Judges,Judges,8,33,hbo,qal,0,1,1,0,0,1,0,0,1,110001,1100,,main,N,prose,making Baal-berith their god,,
175,451492,Judges,Judges,11,11,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,,main,N,prose,make head over …,,
191,453665,1_Samuel,Samuel,8,5,hbo,qal,0,0,1,1,0,1,0,0,1,100101,1001,,,,prose,infin,no,
199,454044,1_Samuel,Samuel,11,2,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,,main,Q,prose,make it a disgrace,no,
200,454088,1_Samuel,Samuel,11,11,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,N,prose,make the people in three groups,no,
205,455201,1_Samuel,Samuel,18,13,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,,main,N,prose,make commander,no,
211,455741,1_Samuel,Samuel,22,7,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prose,L is first object,no,
215,456521,1_Samuel,Samuel,28,2,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prose,make head over …,no,
218,456836,1_Samuel,Samuel,30,25,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prose,make statute,no,
244,460823,1_Kings,Kings,5,23,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,,main,Q,prose,,no,
247,461571,1_Kings,Kings,10,9,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prose,make you king,no,
257,462925,1_Kings,Kings,19,2,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prose,,no,
277,465241,2_Kings,Kings,10,8,hbo,qal,0,0,2,0,1,0,0,0,2,200010,2000,,main,Q,prose,make them in two heaps,no,
279,465348,2_Kings,Kings,10,27,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prose,he made it a latrine,no,
283,465577,2_Kings,Kings,13,7,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prose,,no,
285,466101,2_Kings,Kings,17,34,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,submod,N,prose,who he gave the name Israel,no,
292,467292,Isaiah,Isaiah,3,7,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,you shall not make me leader of th epeople,,
293,467455,Isaiah,Isaiah,5,20,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prophecy, put darkness for light,double,
294,467457,Isaiah,Isaiah,5,20,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prophecy,who made bitter sweet,double,
295,467854,Isaiah,Isaiah,10,6,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,"en stelle het ter vertreding, gelijk het slijk der straten",,
296,468058,Isaiah,Isaiah,13,9,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prophecy,to make the earth a desolation,,
297,468160,Isaiah,Isaiah,14,17,hbo,qal,0,0,1,0,1,0,1,0,1,101010,1010,,,,prophecy,,,
298,468181,Isaiah,Isaiah,14,23,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,D,prophecy,And I will make it a possession of the hedgehog,,
299,468545,Isaiah,Isaiah,21,4,hbo,qal,0,1,1,0,0,1,0,0,1,110001,1100,,main,Q,prophecy,has been turned for me into trembling,,
300,468746,Isaiah,Isaiah,23,13,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy, they made her a ruin,,
301,468866,Isaiah,Isaiah,25,2,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prophecy,"For you have made the city a heap,",,
302,469019,Isaiah,Isaiah,27,9,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,    the fortified city a ruin,,
303,469106,Isaiah,Isaiah,28,15,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,for we have made lies our refuge,,
304,469112,Isaiah,Isaiah,28,17,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"And I will make justice the line,",,
305,469151,Isaiah,Isaiah,28,25,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,    and righteousness the plummet;,,
307,470344,Isaiah,Isaiah,41,15,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,I will make of you a threshing sledge,,
308,470347,Isaiah,Isaiah,41,15,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
309,470362,Isaiah,Isaiah,41,18,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"I will make the wilderness a pool of water,",,
315,470487,Isaiah,Isaiah,42,15,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"I will turn the rivers into islands,",,
316,470493,Isaiah,Isaiah,42,16,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,,main,Q,prophecy,"I will turn the darkness before them into light,",,
322,471242,Isaiah,Isaiah,49,2,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,    the rough places into level ground.,,
323,471244,Isaiah,Isaiah,49,2,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prophecy,he made me a polished arrow,,
