verb,cl_id,book,chapter,verse,language,main_sub,txt_type,genre,clause
NTN,427611,Genesis,1,17,Hebrew,Main,N,prose,W JTN >TM >LHJM B RQJ< H CMJM
NTN,427664,Genesis,1,29,Hebrew,Main,Q,prose,HNH NTTJ LKM >T KL <FB W >T KL H <Y
NTN,427797,Genesis,3,6,Hebrew,Main,N,prose,W TTN GM L >JCH <MH
NTN,427823,Genesis,3,12,Hebrew,SubMod,Q,prose,>CR NTTH <MDJ
NTN,427824,Genesis,3,12,Hebrew,Main,Q,prose,HW> NTNH LJ MN H <Y
NTN,427922,Genesis,4,12,Hebrew,SubArg,Q,prose,TT KXH LK
NTN,428269,Genesis,9,2,Hebrew,Main,Q,prose,B JDKM NTNW
NTN,428272,Genesis,9,3,Hebrew,Main,Q,prose,K JRQ <FB NTTJ LKM >T KL
NTN,428298,Genesis,9,12,Hebrew,SubMod,Q,prose,>CR >NJ NTN BJNJ W BJNJKM W BJN KL NPC XJH
NTN,428300,Genesis,9,13,Hebrew,Main,Q,prose,>T QCTJ NTTJ B  <NN
NTN,428530,Genesis,12,7,Hebrew,Main,Q,prose,L ZR<K >TN >T H >RY H Z>T
NTN,428632,Genesis,13,15,Hebrew,Main,Q,prose,LK >TNNH
NTN,428640,Genesis,13,17,Hebrew,SubAdv,Q,prose,KJ LK >TNNH
NTN,428706,Genesis,14,20,Hebrew,Main,N,prose,W JTN LW M<FR M KL
NTN,428708,Genesis,14,21,Hebrew,Main,Q,prose,TN LJ H NPC
NTN,428731,Genesis,15,2,Hebrew,Main,Q,prose,MH TTN LJ
NTN,428736,Genesis,15,3,Hebrew,Main,Q,prose,HN LJ L> NTTH ZR<
NTN,428757,Genesis,15,7,Hebrew,SubAdv,Q,prose,L TT LK >T H >RY H Z>T
NTN,428767,Genesis,15,10,Hebrew,Main,N,prose,W JTN >JC BTRW
NTN,428796,Genesis,15,18,Hebrew,Main,Q,prose,L ZR<K NTTJ >T H >RY H Z>T M NHR MYRJM <D H NHR H GDL NHR PRT
NTN,428811,Genesis,16,3,Hebrew,Main,N,prose,W TTN >TH L >BRM >JCH LW L >CH
NTN,428819,Genesis,16,5,Hebrew,Main,Q,prose,>NKJ NTTJ CPXTJ B XJQK
NTN,428871,Genesis,17,2,Hebrew,Main,Q,prose,W >TNH BRJTJ BJNJ W BJNK
NTN,428881,Genesis,17,5,Hebrew,SubAdv,Q,prose,KJ >B HMWN GWJM NTTJK
NTN,428883,Genesis,17,6,Hebrew,Main,Q,prose,W NTTJK L GWJM
NTN,428887,Genesis,17,8,Hebrew,Main,Q,prose,W NTTJ LK W L ZR<K >XRJK >T >RY MGRJK >T KL >RY KN<N L >XZT <WLM
NTN,428909,Genesis,17,16,Hebrew,Main,Q,prose,W GM NTTJ MMNH LK BN
NTN,428930,Genesis,17,20,Hebrew,Main,Q,prose,W NTTJW L GWJ GDWL
NTN,428976,Genesis,18,7,Hebrew,Main,N,prose,W JTN >L H N<R
NTN,428981,Genesis,18,8,Hebrew,Main,N,prose,W JTN L PNJHM
NTN,429306,Genesis,20,6,Hebrew,Main,N,prose,<L KN L> NTTJK
NTN,429347,Genesis,20,14,Hebrew,Main,N,prose,W JTN L >BRHM
NTN,429353,Genesis,20,16,Hebrew,Main,Q,prose,HNH NTTJ >LP KSP L >XJK
NTN,429405,Genesis,21,14,Hebrew,Main,N,prose,W JTN >L HGR
NTN,429464,Genesis,21,27,Hebrew,Main,N,prose,W JTN L >BJMLK
NTN,429596,Genesis,23,4,Hebrew,Main,Q,prose,TNW LJ >XZT QBR <MKM
NTN,429615,Genesis,23,9,Hebrew,Main,Q,prose,W JTN LJ >T M<RT H MKPLH
NTN,429618,Genesis,23,9,Hebrew,Main,Q,prose,B KSP ML> JTNNH LJ B TWKKM L >XZT QBR
NTN,429625,Genesis,23,11,Hebrew,Main,Q,prose,H FDH NTTJ LK
NTN,429628,Genesis,23,11,Hebrew,Main,Q,prose,LK NTTJH
NTN,429629,Genesis,23,11,Hebrew,Main,Q,prose,L <JNJ BNJ <MJ NTTJH LK
NTN,429636,Genesis,23,13,Hebrew,Main,Q,prose,NTTJ KSP H FDH
NTN,429685,Genesis,24,7,Hebrew,Main,Q,prose,L ZR<K >TN >T H >RY H Z>T
NTN,429801,Genesis,24,32,Hebrew,Main,N,prose,W JTN TBN W MSPW> L  GMLJM
NTN,429816,Genesis,24,35,Hebrew,Main,N,prose,W JTN LW Y>N W BQR W KSP W ZHB W <BDM W CPXT W GMLJM W XMRJM
NTN,429818,Genesis,24,36,Hebrew,Main,N,prose,W JTN LW >T KL
NTN,429835,Genesis,24,41,Hebrew,SubAdv,Q,prose,W >M L> JTNW LK
NTN,429902,Genesis,24,53,Hebrew,Main,N,prose,W JTN L RBQH
NTN,429903,Genesis,24,53,Hebrew,Main,N,prose,W MGDNT NTN L >XJH W L >MH
NTN,429973,Genesis,25,5,Hebrew,Main,N,prose,W JTN >BRHM >T KL L JYXQ
NTN,429975,Genesis,25,6,Hebrew,Main,N,prose,W L BNJ H PJLGCJM NTN >BRHM MTNT
NTN,430068,Genesis,25,34,Hebrew,Main,N,prose,W J<QB NTN L <FW LXM W NZJD <DCJM
NTN,430085,Genesis,26,3,Hebrew,SubAdv,Q,prose,KJ LK W L ZR<K >TN >T KL H >RYT H >L
NTN,430089,Genesis,26,4,Hebrew,Main,Q,prose,W NTTJ L ZR<K >T KL H >RYT H >L
NTN,430281,Genesis,27,17,Hebrew,Main,N,prose,W TTN >T H MV<MJM W >T H LXM B JD J<QB BNH
NTN,430342,Genesis,27,28,Hebrew,Main,Q,prose,W JTN LK H >LHJM M VL H CMJM W M CMNJ H >RY
NTN,430395,Genesis,27,37,Hebrew,Main,Q,prose,W >T KL >XJW NTTJ LW L <BDJM
NTN,430457,Genesis,28,4,Hebrew,Main,Q,prose,W JTN LK >T BRKT >BRHM LK W L ZR<K >TK
NTN,430459,Genesis,28,4,Hebrew,SubMod,Q,prose,>CR NTN >LHJM L >BRHM
NTN,430494,Genesis,28,13,Hebrew,Main,Q,prose,LK >TNNH
NTN,430528,Genesis,28,20,Hebrew,Main,Q,prose,W NTN LJ LXM W BGD
NTN,430536,Genesis,28,22,Hebrew,SubMod,Q,prose,>CR TTN LJ
NTN,430618,Genesis,29,19,Hebrew,SubArg,Q,prose,TTJ >TH LK
NTN,430619,Genesis,29,19,Hebrew,SubAdv,Q,prose,M TTJ >TH L >JC >XR
